"ntree","mtry","train_mse","param_idx"
100,17,0.0879155925925925,1
150,17,0.07765922459341,2
200,17,0.0805668525435216,3
250,17,0.0731067762962963,4
300,17,0.0753091784089788,5
100,22,0.0441005330574581,6
150,22,0.0404804528581092,7
200,22,0.0390638532827562,8
250,22,0.038402781615931,9
300,22,0.0351684009236357,10
100,27,0.0212336277191146,11
150,27,0.0218068043259203,12
200,27,0.0197739418442415,13
250,27,0.0199597219698122,14
300,27,0.0225320749002904,15
100,17,0.0857309842402333,1
150,17,0.0793854292906872,2
200,17,0.0775157211559803,3
250,17,0.078391092600203,4
300,17,0.0761390366389029,5
100,22,0.0413820607876711,6
150,22,0.0429938642856135,7
200,22,0.0382004197365709,8
250,22,0.0424296261225266,9
300,22,0.0357857196687032,10
100,27,0.0291888830225773,11
150,27,0.025703537185016,12
200,27,0.0229765359430493,13
250,27,0.0239064423439877,14
300,27,0.0225562781679844,15
100,17,0.0887991430190892,1
150,17,0.0797746365670274,2
200,17,0.0698092607357464,3
250,17,0.0740222063508371,4
300,17,0.0687120189783105,5
100,22,0.0416816238188102,6
150,22,0.0358881610822199,7
200,22,0.0354629448685629,8
250,22,0.0391955947070015,9
300,22,0.0356569142276551,10
100,27,0.0264281620846017,11
150,27,0.0219025644977169,12
200,27,0.0198097238968956,13
250,27,0.0218497476839167,14
300,27,0.0187769045500028,15
100,17,0.0881826011383815,1
150,17,0.0794057311326736,2
200,17,0.0810116508296073,3
250,17,0.0737597745459157,4
300,17,0.0752693428630066,5
100,22,0.0452098806047057,6
150,22,0.0428574526114774,7
200,22,0.0385486009501045,8
250,22,0.0383916544850329,9
300,22,0.0406480714060473,10
100,27,0.0230613818651699,11
150,27,0.0199488500303004,12
200,27,0.0210840634294932,13
250,27,0.0223635245509893,14
300,27,0.0225560671128939,15
100,17,0.0630337640236554,1
150,17,0.0688503135746094,2
200,17,0.0710267460580764,3
250,17,0.0659977231760527,4
300,17,0.0701776856934226,5
100,22,0.0390548701087645,6
150,22,0.0356921468198601,7
200,22,0.0383365862981989,8
250,22,0.0384236865334855,9
300,22,0.0331632050178984,10
100,27,0.0224971330146498,11
150,27,0.0216145535825017,12
200,27,0.0187282347555174,13
250,27,0.0197432534221207,14
300,27,0.0179376487242093,15
100,17,0.067934398623795,1
150,17,0.0790134217085235,2
200,17,0.0660463410051211,3
250,17,0.0720465176572805,4
300,17,0.069315989890742,5
100,22,0.0387672338517884,6
150,22,0.0364028369024465,7
200,22,0.0346253281646372,8
250,22,0.0354937264231355,9
300,22,0.0333454004479889,10
100,27,0.0194614725313926,11
150,27,0.0180465104466148,12
200,27,0.017882958380898,13
250,27,0.0195102634386099,14
300,27,0.0184347430476282,15
100,17,0.0838542870132546,1
150,17,0.0809660531491346,2
200,17,0.0813104754050925,3
250,17,0.0819451528500761,4
300,17,0.0703657264907125,5
100,22,0.0432319747114408,6
150,22,0.0418993000133886,7
200,22,0.0443197801778126,8
250,22,0.0372004069469812,9
300,22,0.0397753919717853,10
100,27,0.0281779535768645,11
150,27,0.0226952330634477,12
200,27,0.020482879522609,13
250,27,0.0211741130251141,14
300,27,0.022051595593572,15
100,17,0.0834150325897386,1
150,17,0.0882722776403685,2
200,17,0.0776211908394374,3
250,17,0.0744428188914256,4
300,17,0.0765494133609207,5
100,22,0.0425231172707381,6
150,22,0.0422651533379841,7
200,22,0.0386175759746798,8
250,22,0.0415066016704718,9
300,22,0.0396611059987879,10
100,27,0.0217633336425038,11
150,27,0.0208416524043068,12
200,27,0.0265390785808282,13
250,27,0.0204988675355149,14
300,27,0.0220154443026312,15
100,17,0.0667091753710046,1
150,17,0.0806886590351766,2
200,17,0.0743951372300704,3
250,17,0.0725557316628615,4
300,17,0.0685541772145766,5
100,22,0.0368389953941527,6
150,22,0.0358078677102711,7
200,22,0.0393433844812278,8
250,22,0.0369202496803653,9
300,22,0.0365486629892117,10
100,27,0.0200772701832826,11
