"nrounds","max_depth","eta","train_mse","param_idx"
100,3,0.1,0.883963734295928,1
200,3,0.1,0.701422020204802,2
500,3,0.1,0.395524080309245,3
100,6,0.1,0.314212343482538,4
200,6,0.1,0.130885536404168,5
500,6,0.1,0.0107655241587962,6
100,9,0.1,0.0396080714533548,7
200,9,0.1,0.00462794278261912,8
500,9,0.1,1.05452024462134e-05,9
100,3,0.01,1.35859733142177,10
200,3,0.01,1.17603898530666,11
500,3,0.01,1.02471880240409,12
100,6,0.01,1.0907693065504,13
200,6,0.01,0.786646308328905,14
500,6,0.01,0.50201241563308,15
100,9,0.01,0.779467778411979,16
200,9,0.01,0.376155516614804,17
500,9,0.01,0.107784284477446,18
100,3,0.001,1.97010586286166,19
200,3,0.001,1.84996378698263,20
500,3,0.001,1.59279009490474,21
100,6,0.001,1.92591466869178,22
200,6,0.001,1.76879604649402,23
500,6,0.001,1.42409907535867,24
100,9,0.001,1.87569490672854,25
200,9,0.001,1.67233385578758,26
500,9,0.001,1.22411441029236,27
100,3,0.1,0.878987452120945,1
200,3,0.1,0.713222403090813,2
500,3,0.1,0.400908250931263,3
100,6,0.1,0.337599991490669,4
200,6,0.1,0.13331486239159,5
500,6,0.1,0.0100655514837377,6
100,9,0.1,0.0368981803059893,7
200,9,0.1,0.00448619037604741,8
500,9,0.1,9.97730384400587e-06,9
100,3,0.01,1.33677705577346,10
200,3,0.01,1.15221780180662,11
500,3,0.01,1.00036383291277,12
100,6,0.01,1.06211688093938,13
200,6,0.01,0.772076897857123,14
500,6,0.01,0.526174009063296,15
100,9,0.01,0.750711989463991,16
200,9,0.01,0.353490785694541,17
500,9,0.01,0.104017309977217,18
100,3,0.001,1.94689063930962,19
200,3,0.001,1.82649385850065,20
500,3,0.001,1.56934216308481,21
100,6,0.001,1.89741887086456,22
200,6,0.001,1.73711939186722,23
500,6,0.001,1.38899459594325,24
100,9,0.001,1.8483724178175,25
200,9,0.001,1.64360030891002,26
500,9,0.001,1.19554836044055,27
100,3,0.1,0.862114304050549,1
200,3,0.1,0.6916433835237,2
500,3,0.1,0.391084149462949,3
100,6,0.1,0.314556455704174,4
200,6,0.1,0.129499905012752,5
500,6,0.1,0.0112118451098133,6
100,9,0.1,0.0469502965288633,7
200,9,0.1,0.0065723748694411,8
500,9,0.1,2.25572208359237e-05,9
100,3,0.01,1.3459889562508,10
200,3,0.01,1.16310047460976,11
500,3,0.01,1.00255292716017,12
100,6,0.01,1.07440307494188,13
200,6,0.01,0.786567005741924,14
500,6,0.01,0.514697679668776,15
100,9,0.01,0.743212285719717,16
200,9,0.01,0.381658692936583,17
500,9,0.01,0.113485556815542,18
100,3,0.001,1.96137131704712,19
200,3,0.001,1.84222939176262,20
500,3,0.001,1.58112647775901,21
100,6,0.001,1.91460729849155,22
200,6,0.001,1.75485363559057,23
500,6,0.001,1.3989072289372,24
100,9,0.001,1.86082376776149,25
200,9,0.001,1.65539780317102,26
500,9,0.001,1.19528956144669,27
100,3,0.1,0.90162386647785,1
200,3,0.1,0.717714287819183,2
500,3,0.1,0.40847882448333,3
100,6,0.1,0.32877399301625,4
200,6,0.1,0.12699933521801,5
500,6,0.1,0.0139372508622855,6
100,9,0.1,0.0459069614001755,7
200,9,0.1,0.00520515301633338,8
500,9,0.1,1.78774956768242e-05,9
100,3,0.01,1.378942842303,10
200,3,0.01,1.19337288151402,11
500,3,0.01,1.03189348263519,12
100,6,0.01,1.10972742107772,13
200,6,0.01,0.798523011509428,14
500,6,0.01,0.512700515029437,15
100,9,0.01,0.789124576427928,16
200,9,0.01,0.38437415636472,17
500,9,0.01,0.128115279736116,18
100,3,0.001,2.01054411308783,19
200,3,0.001,1.88555369114523,20
500,3,0.001,1.62244742438194,21
100,6,0.001,1.96874636231452,22
200,6,0.001,1.80655115794028,23
500,6,0.001,1.44761675167201,24
100,9,0.001,1.91961193159489,25
200,9,0.001,1.7134610845435,26
500,9,0.001,1.24917515805004,27
100,3,0.1,0.919259082986863,1
200,3,0.1,0.748230251368737,2
500,3,0.1,0.420628386860518,3
100,6,0.1,0.337586028926197,4
200,6,0.1,0.135676231641403,5
500,6,0.1,0.0114242289337347,6
