"ntree","mtry","train_mse","param_idx"
100,10,0.250624932523782,1
150,10,0.237880434270751,2
200,10,0.236569268208983,3
100,20,0.225053535736936,4
150,20,0.216956795295676,5
200,20,0.217939864666572,6
100,30,0.224719764982877,7
150,30,0.213010935826428,8
200,30,0.216288301011146,9
100,10,0.235024917950035,1
150,10,0.225277975119888,2
200,10,0.236901824003442,3
100,20,0.220564071759259,4
150,20,0.218822136443712,5
200,20,0.213896499373732,6
100,30,0.211290611840436,7
150,30,0.213380285257765,8
200,30,0.208381420311311,9
100,10,0.253847256844694,1
150,10,0.246495445442764,2
200,10,0.247053731519986,3
100,20,0.240089439513572,4
150,20,0.238220675119088,5
200,20,0.234959063009339,6
100,30,0.233727379867453,7
150,30,0.233544392070438,8
200,30,0.228260042927131,9
100,40,0.207613392202562,1
150,40,0.202463286677659,2
200,40,0.199436629806015,3
250,40,0.20198367962963,4
300,40,0.199162323067288,5
100,50,0.20931675953672,6
150,50,0.20621629732158,7
200,50,0.204102165348728,8
250,50,0.199781132411213,9
300,50,0.20060542901675,10
100,40,0.230720344344559,1
150,40,0.236816802106235,2
200,40,0.231977761187611,3
250,40,0.231650504719685,4
300,40,0.229645917669929,5
100,50,0.23460492833587,6
150,50,0.234964032143159,7
200,50,0.232925128262145,8
250,50,0.232494447369356,9
300,50,0.22709362390337,10
100,40,0.238466778927258,1
150,40,0.236389338005243,2
200,40,0.237642132628187,3
250,40,0.232092182469559,4
300,40,0.225236315263156,5
100,50,0.230691767400748,6
150,50,0.229439117361463,7
200,50,0.227366567409072,8
250,50,0.22901655093861,9
300,50,0.233258659329373,10
