"ntree","mtry","train_mse","param_idx"
100,10,0.495289593740584,1
150,10,0.491438375567658,2
200,10,0.491467566601498,3
100,20,0.449711223332065,4
150,20,0.448470369711511,5
200,20,0.442390019412338,6
100,30,0.443377708230277,7
150,30,0.446673492706748,8
200,30,0.423092290049467,9
100,10,0.4499380669443,1
150,10,0.428113845587772,2
200,10,0.434251194535031,3
100,20,0.406166858479198,4
150,20,0.40138909393145,5
200,20,0.399812209902968,6
100,30,0.416427879264967,7
150,30,0.39039608436214,8
200,30,0.386981857670599,9
100,10,0.465966455750108,1
150,10,0.459119745032415,2
200,10,0.449411082195361,3
100,20,0.430120466990106,4
150,20,0.421226739708411,5
200,20,0.414577371448503,6
100,30,0.411656782994039,7
150,30,0.414423504520407,8
200,30,0.402008371325628,9
100,40,0.416623602287861,1
150,40,0.420107017151474,2
200,40,0.415911369910578,3
250,40,0.409765588926941,4
300,40,0.408451859898212,5
100,50,0.427784186929224,6
150,50,0.414002124235442,7
200,50,0.422150938296708,8
250,50,0.411394396878488,9
300,50,0.404050396217374,10
100,40,0.4130485929414,1
150,40,0.415497452364846,2
200,40,0.425581748820792,3
250,40,0.426496117659817,4
300,40,0.417904211741255,5
100,50,0.436103395516235,6
150,50,0.42914279831163,7
200,50,0.421428028699344,8
250,50,0.427466228622527,9
300,50,0.421553371414151,10
100,40,0.41489459635813,1
150,40,0.403668029588759,2
200,40,0.409178497984446,3
250,40,0.413513579504059,4
300,40,0.416320899681669,5
100,50,0.42681772415652,6
150,50,0.413323135340916,7
200,50,0.418843189483844,8
250,50,0.422145288278792,9
300,50,0.408485046190597,10
