"ntree","mtry","train_mse","param_idx"
100,10,0.404393206158948,1
150,10,0.400343273593571,2
200,10,0.404510765045091,3
100,20,0.381630624032851,4
150,20,0.377088825303709,5
200,20,0.374607037467101,6
100,30,0.372717319452372,7
150,30,0.365990616406646,8
200,30,0.365274994561771,9
100,10,0.432493118451928,1
150,10,0.418536788900868,2
200,10,0.422897570992111,3
100,20,0.402380206652714,4
150,20,0.397459611657224,5
200,20,0.394155781148925,6
100,30,0.389446149765348,7
150,30,0.389772305065815,8
200,30,0.385521784761859,9
100,10,0.401210031041724,1
150,10,0.396018676646036,2
200,10,0.400645400491248,3
100,20,0.372821561366375,4
150,20,0.373103751613676,5
200,20,0.36844224071894,6
100,30,0.373776941067352,7
150,30,0.364260524568042,8
200,30,0.362230537526557,9
100,40,0.385667588391045,1
150,40,0.372750731115057,2
200,40,0.378557245608194,3
250,40,0.380601723469051,4
300,40,0.372083388548889,5
100,50,0.383810155798135,6
150,50,0.382254110346553,7
200,50,0.38224025471485,8
250,50,0.372788526515728,9
300,50,0.37243825855812,10
100,40,0.411410460378615,1
150,40,0.405462329450645,2
200,40,0.408281152989837,3
250,40,0.402876523970066,4
300,40,0.405689796053188,5
100,50,0.408200017757483,6
150,50,0.398958560248605,7
200,50,0.404479335517345,8
250,50,0.401905191694571,9
300,50,0.402767741943951,10
100,40,0.400036592069381,1
150,40,0.384225195311179,2
200,40,0.384078495685486,3
250,40,0.384139513444952,4
300,40,0.380262187875233,5
100,50,0.391832652968036,6
150,50,0.383013388976972,7
200,50,0.378500477545503,8
250,50,0.375288151747844,9
300,50,0.378123142858779,10
